timestamp,posicao_x_m,altitude_z_m,pitch_rad,dist_us_cm,vibracao_g,desnivel_detected
2025-09-15T08:00:00,0.0,0.0653,0.0,7.17,0.5206,False
2025-09-15T08:00:05,2.0,0.0494,-0.00793,4.61,0.822,False
2025-09-15T08:00:10,4.0,0.1508,0.050684,16.6,1.1675,True
2025-09-15T08:00:15,6.0,0.1574,0.003279,16.74,0.8866,False
2025-09-15T08:00:20,8.0,0.1603,0.001468,15.28,0.9161,False
2025-09-15T08:00:25,10.0,0.1679,0.003822,18.32,1.0496,False
2025-09-15T08:00:30,12.0,0.2325,0.032286,23.74,2.2459,False
2025-09-15T08:00:35,14.0,0.3155,0.041488,31.52,3.5642,True
2025-09-15T08:00:40,16.0,0.2453,-0.035113,24.83,2.4598,True
2025-09-15T08:00:45,18.0,0.2291,-0.008096,25.22,2.0008,False
2025-09-15T08:00:50,20.0,0.2879,0.029395,27.39,3.053,False
2025-09-15T08:00:55,22.0,0.2353,-0.026254,23.96,2.2403,False
2025-09-15T08:01:00,24.0,0.2732,0.018926,25.97,2.7494,False
2025-09-15T08:01:05,26.0,0.182,-0.045581,16.3,1.5952,True
2025-09-15T08:01:10,28.0,0.2452,0.031586,24.42,2.4308,False
2025-09-15T08:01:15,30.0,0.403,0.078903,39.53,2.9264,True
2025-09-15T08:01:20,32.0,0.349,-0.027009,32.88,1.701,False
2025-09-15T08:01:25,34.0,0.3865,0.018764,39.02,2.198,False
2025-09-15T08:01:30,36.0,0.3954,0.004421,40.33,2.2159,False
2025-09-15T08:01:35,38.0,0.347,-0.024203,36.05,1.648,False
2025-09-15T08:01:40,40.0,0.3341,-0.006442,32.75,1.3127,False
2025-09-15T08:01:45,42.0,0.3066,-0.013716,30.08,0.9594,False
2025-09-15T08:01:50,44.0,0.2402,-0.0332,24.18,0.4119,False
2025-09-15T08:01:55,46.0,0.2948,0.027277,29.12,0.8902,False
2025-09-15T08:02:00,48.0,0.2474,-0.023708,25.11,0.2289,False
2025-09-15T08:02:05,50.0,0.3015,0.027061,30.19,0.9891,False
2025-09-15T08:02:10,52.0,0.216,-0.042768,21.01,0.8526,True
2025-09-15T08:02:15,54.0,0.2106,-0.002684,19.8,0.6124,False
2025-09-15T08:02:20,56.0,0.191,-0.00979,19.16,0.963,False
2025-09-15T08:02:25,58.0,0.2331,0.021027,24.25,0.4221,False
2025-09-15T08:02:30,60.0,0.1929,-0.020112,18.57,1.0181,False
2025-09-15T08:02:35,62.0,0.1674,-0.012719,15.6,1.3405,False
2025-09-15T08:02:40,64.0,0.1438,-0.011817,14.8,1.6878,False
2025-09-15T08:02:45,66.0,0.1004,-0.021712,12.04,2.4183,False
2025-09-15T08:02:50,68.0,0.1313,0.015469,11.23,1.9043,False
2025-09-15T08:02:55,70.0,0.1239,-0.003685,11.99,1.9206,False
2025-09-15T08:03:00,72.0,0.1027,-0.010615,10.74,2.2944,False
2025-09-15T08:03:05,74.0,0.112,0.004657,9.16,2.1071,False
2025-09-15T08:03:10,76.0,0.0655,-0.023233,7.33,2.9527,False
2025-09-15T08:03:15,78.0,0.1417,0.038073,16.07,1.9292,True
2025-09-15T08:03:20,80.0,0.1614,0.009872,14.09,1.4074,False
2025-09-15T08:03:25,82.0,0.1374,-0.012038,11.82,1.7859,False
2025-09-15T08:03:30,84.0,0.1718,0.017199,17.43,1.3112,False
2025-09-15T08:03:35,86.0,0.1002,-0.035785,12.03,2.5335,True
2025-09-15T08:03:40,88.0,0.1666,0.033225,14.77,1.5162,False
2025-09-15T08:03:45,90.0,0.0706,-0.048,6.33,1.5745,True
2025-09-15T08:03:50,92.0,0.0811,0.00522,7.64,1.0756,False
2025-09-15T08:03:55,94.0,0.136,0.027455,12.18,0.4298,False
2025-09-15T08:04:00,96.0,0.1222,-0.006884,14.04,0.4718,False
2025-09-15T08:04:05,98.0,0.1064,-0.007914,10.85,0.7174,False
2025-09-15T08:04:10,100.0,0.1561,0.024834,14.92,0.2896,False
2025-09-15T08:04:15,102.0,0.1882,0.016088,18.92,0.7023,False
2025-09-15T08:04:20,104.0,0.159,-0.014623,17.66,0.2518,False
2025-09-15T08:04:25,106.0,0.229,0.034988,22.73,1.4644,False
2025-09-15T08:04:30,108.0,0.2032,-0.012902,19.53,0.9007,False
2025-09-15T08:04:35,110.0,0.2751,0.035967,27.36,2.1642,True
2025-09-15T08:04:40,112.0,0.2665,-0.004315,26.46,1.7815,False
2025-09-15T08:04:45,114.0,0.2841,0.008802,28.29,2.0815,False
2025-09-15T08:04:50,116.0,0.2996,0.007748,29.77,2.3055,False
2025-09-15T08:04:55,118.0,0.3106,0.005523,31.73,2.4534,False
2025-09-15T08:05:00,120.0,0.2892,-0.010726,28.06,2.1732,False
2025-09-15T08:05:05,122.0,0.2691,-0.01001,26.17,1.8672,False
2025-09-15T08:05:10,124.0,0.2702,0.000515,27.88,1.8067,False
2025-09-15T08:05:15,126.0,0.2983,0.014068,31.4,2.3371,False
2025-09-15T08:05:20,128.0,0.3657,0.033709,36.6,3.5055,False
2025-09-15T08:05:25,130.0,0.2462,-0.059753,24.24,1.9213,True
2025-09-15T08:05:30,132.0,0.2835,0.018623,26.86,2.1509,False
2025-09-15T08:05:35,134.0,0.2691,-0.007165,27.2,1.8443,False
2025-09-15T08:05:40,136.0,0.2518,-0.00867,24.41,1.5963,False
2025-09-15T08:05:45,138.0,0.2299,-0.010937,24.78,1.2863,False
2025-09-15T08:05:50,140.0,0.2334,0.00173,22.51,1.2645,False
2025-09-15T08:05:55,142.0,0.2111,-0.011151,22.06,1.0054,False
2025-09-15T08:06:00,144.0,0.1847,-0.013199,18.95,0.6258,False
2025-09-15T08:06:05,146.0,0.2091,0.012231,21.66,0.9849,False
2025-09-15T08:06:10,148.0,0.2108,0.000825,20.53,0.9185,False
2025-09-15T08:06:15,150.0,0.384,0.086596,37.61,1.2025,True
2025-09-15T08:06:20,152.0,0.3193,-0.032339,33.13,0.7192,False
2025-09-15T08:06:25,154.0,0.3374,0.009032,33.74,0.2617,False
2025-09-15T08:06:30,156.0,0.259,-0.039164,26.47,1.6777,True
2025-09-15T08:06:35,158.0,0.2588,-0.000107,24.96,1.3685,False
2025-09-15T08:06:40,160.0,0.2424,-0.008219,24.49,1.6799,False
2025-09-15T08:06:45,162.0,0.1837,-0.029351,18.73,2.7295,False
2025-09-15T08:06:50,164.0,0.2396,0.027977,23.38,1.8792,False
2025-09-15T08:06:55,166.0,0.2545,0.007409,26.06,1.4924,False
2025-09-15T08:07:00,168.0,0.1961,-0.029186,18.94,2.5422,False
2025-09-15T08:07:05,170.0,0.2282,0.016054,21.3,1.9555,False
2025-09-15T08:07:10,172.0,0.1927,-0.017759,18.64,2.5019,False
2025-09-15T08:07:15,174.0,0.2024,0.004857,20.45,2.253,False
2025-09-15T08:07:20,176.0,0.2014,-0.000496,21.27,2.233,False
2025-09-15T08:07:25,178.0,0.2095,0.00405,20.63,2.1399,False
2025-09-15T08:07:30,180.0,0.171,-0.019241,17.82,2.8387,False
2025-09-15T08:07:35,182.0,0.2301,0.029552,24.46,2.0346,False
2025-09-15T08:07:40,184.0,0.2009,-0.014597,20.12,2.3529,False
2025-09-15T08:07:45,186.0,0.2327,0.015868,23.18,1.887,False
2025-09-15T08:07:50,188.0,0.2476,0.007484,23.05,1.5954,False
2025-09-15T08:07:55,190.0,0.2866,0.019476,29.31,1.1071,False
2025-09-15T08:08:00,192.0,0.3117,0.012535,33.41,0.6755,False
2025-09-15T08:08:05,194.0,0.2852,-0.013219,28.49,1.0776,False
2025-09-15T08:08:10,196.0,0.313,0.013889,33.24,0.6663,False
2025-09-15T08:08:15,198.0,0.2793,-0.016863,28.41,1.196,False
2025-09-15T08:08:20,200.0,0.3059,0.013306,28.01,0.7683,False
2025-09-15T08:08:25,202.0,0.3082,0.00115,29.44,0.6366,False
2025-09-15T08:08:30,204.0,0.4194,0.0556,41.07,1.4854,True
2025-09-15T08:08:35,206.0,0.3984,-0.01049,38.68,0.8098,False
2025-09-15T08:08:40,208.0,0.4406,0.021098,42.96,1.5277,False
2025-09-15T08:08:45,210.0,0.3277,-0.056447,31.78,2.367,True
2025-09-15T08:08:50,212.0,0.2797,-0.02398,28.1,1.3879,False
2025-09-15T08:08:55,214.0,0.3163,0.018291,33.06,1.8911,False
2025-09-15T08:09:00,216.0,0.3303,0.006972,31.82,2.0097,False
2025-09-15T08:09:05,218.0,0.3189,-0.005674,31.32,1.8291,False
2025-09-15T08:09:10,220.0,0.3644,0.022748,36.82,2.6481,False
2025-09-15T08:09:15,222.0,0.3438,-0.010324,35.25,2.239,False
2025-09-15T08:09:20,224.0,0.3338,-0.004956,33.25,2.0474,False
2025-09-15T08:09:25,226.0,0.3551,0.010639,37.04,2.412,False
2025-09-15T08:09:30,228.0,0.3444,-0.00537,34.09,2.2088,False
2025-09-15T08:09:35,230.0,0.3113,-0.016552,31.81,1.8017,False
2025-09-15T08:09:40,232.0,0.3181,0.003406,32.15,1.7987,False
2025-09-15T08:09:45,234.0,0.2696,-0.024247,28.0,1.238,False
2025-09-15T08:09:50,236.0,0.2756,0.003009,26.78,1.1584,False
2025-09-15T08:09:55,238.0,0.3344,0.02941,32.11,2.2519,False
