timestamp,posicao_x_m,altitude_z_m,pitch_rad,dist_us_cm,vibracao_g,desnivel_detected
2025-09-15T08:00:00,0.0,-0.0532,0.0,5.39,0.0477,False
2025-09-15T08:00:05,1.5,-0.0758,-0.015099,8.93,0.5082,False
2025-09-15T08:00:10,3.0,0.0381,0.075923,1.83,1.9283,True
2025-09-15T08:00:15,4.5,-0.0661,-0.069446,7.42,0.7972,True
2025-09-15T08:00:20,6.0,-0.0469,0.012806,4.3,0.1489,False
2025-09-15T08:00:25,7.5,0.0233,0.046789,3.02,1.4735,True
2025-09-15T08:00:30,9.0,0.0214,-0.001224,2.24,1.0815,False
2025-09-15T08:00:35,10.5,0.0109,-0.007051,2.38,0.9694,False
2025-09-15T08:00:40,12.0,0.0329,0.014669,3.63,1.3604,False
2025-09-15T08:00:45,13.5,0.0421,0.006121,4.31,1.4297,False
2025-09-15T08:00:50,15.0,0.0646,0.01505,6.3,1.8398,False
2025-09-15T08:00:55,16.5,0.0386,-0.017377,4.65,1.4674,False
2025-09-15T08:01:00,18.0,0.1423,0.06915,14.47,3.4375,True
2025-09-15T08:01:05,19.5,0.1204,-0.014573,12.88,2.673,False
2025-09-15T08:01:10,21.0,0.4324,0.207988,43.54,4.4,True
2025-09-15T08:01:15,22.5,0.4066,-0.017176,41.53,2.4871,False
2025-09-15T08:01:20,24.0,0.4025,-0.002791,39.27,2.3092,False
2025-09-15T08:01:25,25.5,0.4009,-0.001052,38.2,2.2716,False
2025-09-15T08:01:30,27.0,0.3986,-0.001532,40.27,2.241,False
2025-09-15T08:01:35,28.5,0.4458,0.031497,44.73,3.1894,False
2025-09-15T08:01:40,30.0,0.4298,-0.010695,42.98,2.7823,False
2025-09-15T08:01:45,31.5,0.3467,-0.055373,33.26,1.8938,True
2025-09-15T08:01:50,33.0,0.3427,-0.002712,32.9,1.4115,False
2025-09-15T08:01:55,34.5,0.3994,0.037836,39.73,2.5438,False
2025-09-15T08:02:00,36.0,0.3884,-0.007347,38.91,2.1346,False
2025-09-15T08:02:05,37.5,0.3978,0.006292,40.84,2.2678,False
2025-09-15T08:02:10,39.0,0.3198,-0.052019,31.71,1.4632,True
2025-09-15T08:02:15,40.5,0.313,-0.004534,29.68,0.9813,False
2025-09-15T08:02:20,42.0,0.3493,0.024182,36.12,1.6825,False
2025-09-15T08:02:25,43.5,0.3093,-0.026638,30.44,1.1028,False
2025-09-15T08:02:30,45.0,0.34,0.020449,31.65,1.5134,False
2025-09-15T08:02:35,46.5,0.2898,-0.033446,29.13,0.8649,False
2025-09-15T08:02:40,48.0,0.246,-0.029237,25.99,0.2944,False
2025-09-15T08:02:45,49.5,0.2935,0.031717,29.09,0.9069,False
2025-09-15T08:02:50,51.0,0.2371,-0.037618,23.32,0.4942,False
2025-09-15T08:02:55,52.5,0.2061,-0.020709,19.3,0.8249,False
2025-09-15T08:03:00,54.0,0.2679,0.04123,27.82,0.5983,False
2025-09-15T08:03:05,55.5,0.2311,-0.024519,22.02,0.4794,False
2025-09-15T08:03:10,57.0,0.2694,0.025501,28.92,0.4945,False
2025-09-15T08:03:15,58.5,0.1812,-0.058801,17.21,1.5029,True
2025-09-15T08:03:20,60.0,0.1272,-0.035994,13.14,2.1303,False
2025-09-15T08:03:25,61.5,0.1143,-0.008595,11.39,2.1045,False
2025-09-15T08:03:30,63.0,0.1842,0.046612,16.91,1.3599,False
2025-09-15T08:03:35,64.5,0.2117,0.018337,22.74,0.7211,False
2025-09-15T08:03:40,66.0,0.0739,-0.091892,5.97,3.3771,True
2025-09-15T08:03:45,67.5,0.105,0.020763,9.47,2.3409,False
