timestamp,posicao_x_m,altitude_z_m,pitch_rad,dist_us_cm,vibracao_g,desnivel_detected
2025-09-15T08:00:00,0.0,-0.0029,0.0,0.12,0.0432,False
2025-09-15T08:00:05,2.5,0.0212,0.009648,2.83,0.3958,False
2025-09-15T08:00:10,5.0,0.0438,0.009025,2.88,0.7292,False
2025-09-15T08:00:15,7.5,0.0747,0.012378,7.21,1.2202,False
2025-09-15T08:00:20,10.0,0.0838,0.003633,8.5,1.2865,False
2025-09-15T08:00:25,12.5,0.1107,0.010753,12.23,1.7467,False
2025-09-15T08:00:30,15.0,0.1345,0.009509,13.56,2.0934,False
2025-09-15T08:00:35,17.5,0.1189,-0.00624,10.87,1.8332,False
2025-09-15T08:00:40,20.0,0.1476,0.01148,16.07,2.3056,False
2025-09-15T08:00:45,22.5,0.149,0.00056,14.79,2.2393,False
2025-09-15T08:00:50,25.0,0.1606,0.00466,14.61,2.4468,False
2025-09-15T08:00:55,27.5,0.1419,-0.007491,14.68,2.1885,False
2025-09-15T08:01:00,30.0,0.1601,0.007288,15.77,2.4602,False
2025-09-15T08:01:05,32.5,0.1412,-0.007577,14.37,2.1784,False
2025-09-15T08:01:10,35.0,0.137,-0.001674,12.59,2.0684,False
2025-09-15T08:01:15,37.5,0.1174,-0.007827,10.23,1.8241,False
2025-09-15T08:01:20,40.0,0.0358,-0.032665,2.97,0.7979,True
2025-09-15T08:01:25,42.5,0.0498,0.005605,5.85,0.7916,False
2025-09-15T08:01:30,45.0,0.0596,0.003942,4.74,0.9261,False
2025-09-15T08:01:35,47.5,0.0404,-0.00769,3.04,0.6677,False
2025-09-15T08:01:40,50.0,0.0483,0.003145,4.53,0.051,False
2025-09-15T08:01:45,52.5,0.0288,-0.007781,3.7,0.3799,False
2025-09-15T08:01:50,55.0,0.0164,-0.004963,1.99,0.5435,False
2025-09-15T08:01:55,57.5,-0.0051,-0.008606,0.99,0.8953,False
2025-09-15T08:02:00,60.0,-0.0507,-0.018243,4.35,1.6566,False
2025-09-15T08:02:05,62.5,-0.0655,-0.005903,7.05,1.7792,False
2025-09-15T08:02:10,65.0,-0.0764,-0.004356,9.97,1.9302,False
2025-09-15T08:02:15,67.5,-0.1,-0.009473,8.9,2.3263,False
2025-09-15T08:02:20,70.0,-0.0773,0.009099,9.15,1.9821,False
2025-09-15T08:02:25,72.5,-0.088,-0.0043,9.64,2.105,False
2025-09-15T08:02:30,75.0,-0.0715,0.006627,7.05,1.8751,False
2025-09-15T08:02:35,77.5,-0.1266,-0.022056,12.13,2.8256,False
2025-09-15T08:02:40,80.0,-0.0736,0.021205,5.92,2.0236,False
2025-09-15T08:02:45,82.5,-0.083,-0.003752,8.55,2.0247,False
2025-09-15T08:02:50,85.0,-0.0777,0.002126,8.49,1.932,False
2025-09-15T08:02:55,87.5,-0.0445,0.013286,6.77,1.523,False
2025-09-15T08:03:00,90.0,-0.0258,0.007473,1.97,1.1963,False
2025-09-15T08:03:05,92.5,-0.0293,-0.001426,2.1,1.2014,False
2025-09-15T08:03:10,95.0,0.0227,0.020811,1.7,0.5761,False
2025-09-15T08:03:15,97.5,0.0251,0.000975,3.26,0.3809,False
2025-09-15T08:03:20,100.0,0.0355,0.00416,3.26,0.2503,False
2025-09-15T08:03:25,102.5,0.0366,0.000443,2.58,0.204,False
2025-09-15T08:03:30,105.0,0.085,0.019343,8.92,0.6797,False
2025-09-15T08:03:35,107.5,0.142,0.022788,14.18,1.5618,False
2025-09-15T08:03:40,110.0,0.1434,0.000571,14.51,1.4055,False
2025-09-15T08:03:45,112.5,0.1778,0.013746,18.67,2.0264,False
2025-09-15T08:03:50,115.0,0.1768,-0.000374,16.67,1.9054,False
